Company,Base City,Rating,Reviews (platform),Est. Size,Service Area,Specialties,Membership Plan,Financing,Category,Weaknesses
The Plumbing Experts,Delray Beach,3.8 / 3.3,"295 (Birdeye); Angi 3.3",Largest fleet (GPS-dispatched; claims 100k+ customers; since 1976),Palm Beach + Broward,High-volume residential/commercial plumbing,Unverified,Yes,Largest,Mediocre ratings; volume eroding quality perception
All Star Plumbing & Air,West Palm Beach,4.7,"1,025 (Birdeye)",Mid-large (since 2004; 24/7),WPB + PBC countywide,Plumbing + A/C; leak detection; repipe,Likely (unverified),Unverified,Highest-rated (scale),No visible water-intelligence/educational layer
Hi-Tech Plumbing Air & Electrical,West Palm Beach,4.6,"~584 (Google); 975 (Birdeye)",Mid-large (multi-truck),"WPB, Boca, Wellington, Boynton, Lake Worth, PB Gardens",Plumbing + HVAC + electrical; slab leak,Likely (unverified),Likely (unverified),Largest (local),Billing-surprise complaints on BBB
Cleary Plumbing & Air,Lake Worth,Strong (BuildZoom top 1% FL),76 (Yelp),Mid (since 1991; no emergency upcharge),Greater WPB + PBC,Plumbing + A/C; slab leak; leak detection,Yes - Cleary Club ~$15/mo,Yes - GreenSky,Modern operator,No water-quality/education content; closest to your model (copy risk)
Benjamin Franklin Plumbing,West Palm Beach,4.5 / 4.8,"Angi 4.5; Best Pick 171",National franchise (since 1997),"Jupiter, Lake Worth, N. Palm Beach, PB Gardens, WPB, Boca, Boynton, Delray",On-time guarantee ($5/min late); full residential,Yes - Club program,Yes,Franchise,Overcharge complaints; thin local review depth
bluefrog Plumbing + Drain,Boynton Beach,Unverified,Unverified,Franchise,"Boynton, Delray, WPB, Boca",Plumbing + drain,Yes - $99/yr,Yes,Franchise,Limited local review footprint
Roto-Rooter Plumbing & Water Cleanup,West Palm Beach,3.4,"5 (Yelp - low sample); BBB accredited",National (24/7),"WPB, Boynton, Delray, Jupiter, Lake Worth",Drain/sewer cleaning; camera; water cleanup,N/A,Yes - Synchrony,Drain leader,Price-gouging complaints ($14k repipe example)
Buckeye Plumbing,Royal Palm / Boynton,5 (Google per search),106 (Yelp),~40 yrs (since 1983),Boynton + all PBC,Residential/commercial plumbing + recurring water service,Water service contracts,Unverified,Water treatment,No published water reports despite selling filtration
Mike the Plumber,Lake Worth,4.9 (Angi),62 (Yelp),Small - 11 employees (verified),"Lake Worth, Wellington, Boynton, Boca, PBC",Drain/sewer; water heaters; leak detection; filtration,Unverified,Unverified,Highest-rated (niche),Small; limited capacity to scale
American Leak Detection of the Palm Beaches,Jupiter,5,594 (Birdeye),6 technicians (verified); brand since 1974,PBC + Treasure Coast,Non-invasive leak detection (water/sewer/gas/pool),N/A,N/A,Leak detection leader,Narrow scope (leak detection only)
Cape Plumbing & Leak Detection,Boynton Beach,Unverified,Unverified,Small-mid (20+ yrs),"Boynton, Delray, Boca, Tri-County",Drain + hydro-jetting + slab leak detection,Unverified,Unverified,Drain/leak,Limited brand visibility
Atlantic Filter Corporation,West Palm Beach,BBB A+,Unverified,Manufacturer (25k sq ft; since 1955),PBC residential/commercial,Water filtration / RO / softeners / nanofiltration,N/A,Unverified,Water treatment (mfr),Niche; not full-service plumbing
Culligan of West Palm Beach,West Palm Beach,Mixed,Unverified,National brand (85+ yr),PBC countywide,Water softening/filtration/RO; delivery,Service contract (lease),Lease/contract,Water treatment,Lease model; mixed reviews
Admiral Plumbing Services,Jupiter,Unverified,Unverified,Unverified,Jupiter + PBC,Water softeners; well pumps; backflow,Unverified,Yes (provider not named),Water treatment,No published water reports
Potty Doctor Plumbing,Boynton Beach,Unverified,Unverified,Long-established (since 1948),Boynton + PBC,Drain cleaning; leak detection; pipe inspection,Unverified,Unverified,Drain,Limited online presence
Flamingo Plumbing & Backflow,West Palm Beach,Unverified,Unverified,Unverified,WPB + PBC,Backflow testing; plumbing,Unverified,Unverified,Plumbing,BBB upsell/billing complaint ($2700 backflow that passed elsewhere)
